country,origin,system,status,matID,url
Russia,Soviet Union,T-72B,abandoned,736,https://i.postimg.cc/8zz8WcH7/763.png
Russia,Soviet Union,T-72B,abandoned,737,https://i.postimg.cc/1tvs3GFY/470.png
Russia,Soviet Union,T-72B,abandoned,738,https://i.postimg.cc/sfLpFS54/4566.png
Russia,Soviet Union,T-72B,abandoned,739,https://i.postimg.cc/zv3Z8G8D/5570.png
Russia,Soviet Union,T-72B,abandoned,740,https://i.postimg.cc/QCL5TQsB/d24.png
Russia,Soviet Union,T-72B,abandoned,741,https://i.postimg.cc/KzgLWJ4m/341.png
Russia,Russia,T-72B Obr. 1989,abandoned,769,https://i.postimg.cc/rsFyfrR7/h8.png
Russia,Russia,T-72B Obr. 1989,abandoned,770,https://i.postimg.cc/6qVQKzjC/4t.png
Russia,Russia,T-72B3,abandoned,783,https://i.postimg.cc/fLmkGMYm/5g6.png
Russia,Russia,T-72B3,abandoned,784,https://i.postimg.cc/4Nvz1J9Q/42.png
Russia,Russia,T-72B3,abandoned,785,https://i.postimg.cc/9Q0cgWhd/3dh0.png
Russia,Russia,T-72B3,abandoned,786,https://i.postimg.cc/sDXVZcxD/d31.png
Russia,Russia,T-72B3 Obr. 2016,abandoned,7120,https://i.postimg.cc/44PbCC3z/v44.png
Russia,Russia,T-72B3 Obr. 2016,abandoned,7121,https://i.postimg.cc/c6ysfCQt/c9.png
Russia,Russia,T-72B3 Obr. 2016,abandoned,7122,https://i.postimg.cc/prkfqWMs/b4.jpg
Russia,Russia,T-72B3 Obr. 2016,abandoned,7123,https://i.postimg.cc/brDMR83Y/d4g.png
Russia,Russia,T-72B3 Obr. 2016,abandoned,7124,https://i.postimg.cc/G3jxcQTv/b55.jpg
Russia,Soviet Union,T-80BV,abandoned,7159,https://i.postimg.cc/fbx3fPBg/665f.jpg
Russia,Soviet Union,T-80BV,abandoned,7160,https://i.postimg.cc/X7GD7K2Y/h66.jpg
Russia,Russia,T-80U,abandoned,7169,https://i.postimg.cc/2Src3YPH/b67.png
Russia,Russia,T-80U,abandoned,7170,https://i.postimg.cc/Bb1f2rCj/b8.jpg
Russia,Russia,T-80U,abandoned,7171,https://i.postimg.cc/8Ck7L8Zk/m88.png
Russia,Russia,T-80U,abandoned,7172,https://i.postimg.cc/L6bcSj1H/77633.png
Russia,Russia,T-80U,abandoned,7173,https://i.postimg.cc/Y0bvnMbC/l8.png
Russia,Russia,T-80U,abandoned,7174,https://i.postimg.cc/6pZrMGJj/5554.png
Russia,Russia,T-80U,abandoned,7175,https://i.postimg.cc/fT1zwVth/l2.png
Russia,Russia,T-80U,abandoned,7176,https://i.postimg.cc/Kjw2vWY5/l3.png
Russia,Russia,T-80U,abandoned,7177,https://i.postimg.cc/prNhDTGN/n77.png 
Russia,Russia,T-80U,abandoned,7178,https://i.postimg.cc/90L44nrM/f58.png
Russia,Russia,T-80U,abandoned,7179,https://i.postimg.cc/mg84T7cL/4g.jpg
Russia,Russia,T-80U,abandoned,7180,https://i.postimg.cc/rF2MjVXk/5g3.jpg
Russia,Russia,T-80U,abandoned,7181,https://i.postimg.cc/vBWYKzb7/47.png
Russia,Russia,T-80U,abandoned,7182,https://i.postimg.cc/5ys6P3S7/652.png
Russia,Russia,T-80UK,abandoned,7202,https://i.postimg.cc/Tw85mW08/f4.png
Russia,Russia,T-80BVM,abandoned,7211,https://i.postimg.cc/ZnF3nGrh/7uu.jpg
Russia,Russia,T-90A,abandoned,7230,https://i.postimg.cc/vHYqqTjM/544.png
Russia,Russia,T-90A,abandoned,7231,https://i.postimg.cc/90XRZvq9/4432.png
Russia,Russia,T-90A,abandoned,7232,https://i.postimg.cc/PJxLN77q/3h.png
Russia,Russia,T-90A,abandoned,7233,https://i.postimg.cc/5txSTbY7/368.png
Russia,Russia,Unknown tank,abandoned,7261,https://i.postimg.cc/j23fFqPt/875.jpg
Russia,Soviet Union,BMP-1Khs,abandoned,7269,https://i.postimg.cc/6qdwks4D/n7.jpg
Russia,Soviet Union,MT-LB,abandoned,7295,https://i.postimg.cc/GpG26n3R/446.png
Russia,Soviet Union,MT-LB,abandoned,7296,https://i.postimg.cc/Y21qgqY7/7766.jpg
Russia,Soviet Union,MT-LB,abandoned,7297,https://i.postimg.cc/mkwsnkyF/433.png
Russia,Soviet Union,MT-LB,abandoned,7298,https://i.postimg.cc/1z6127Wh/h54.png
Russia,Soviet Union,MT-LB,abandoned,7299,https://i.postimg.cc/vHYqqTjM/544.png
Russia,Soviet Union,MT-LB,abandoned,7300,https://i.postimg.cc/yNdpdVtm/d1.png
Russia,Soviet Union,MT-LB,abandoned,7301,https://i.postimg.cc/dV6Sf0SG/6hf.png
Russia,Soviet Union,MT-LB,abandoned,7302,https://i.postimg.cc/MT7GfMmt/467.png
Russia,Soviet Union,MT-LB,abandoned,7303,https://i.postimg.cc/yYY0Hk5C/73.jpg
Russia,Soviet Union,MT-LB,abandoned,7304,https://i.postimg.cc/ZRgTChvT/f24.png
Russia,Soviet Union,MT-LB,abandoned,7305,https://i.postimg.cc/SRx4st8h/46805.png
Russia,Soviet Union,MT-LB,abandoned,7306,https://i.postimg.cc/mrJwQRQ2/f69.png
Russia,Soviet Union,MT-LB,abandoned,7307,https://i.postimg.cc/44Pdb9wn/48.png
Russia,Soviet Union,MT-LB,abandoned,7308,https://i.postimg.cc/43RcYDPt/m2.png
Russia,Soviet Union,MT-LB,abandoned,7309,https://i.postimg.cc/mr3HCmpn/m3.png
Russia,Soviet Union,MT-LB,abandoned,7310,https://i.postimg.cc/26bSBK7B/6j.png
Russia,Soviet Union,MT-LB,abandoned,7311,https://i.postimg.cc/3RqpkBLf/329.png
Russia,Soviet Union,MT-LBM 6MB,abandoned,7357,https://i.postimg.cc/pr29GJz8/359.png
Russia,Soviet Union,MT-LBu,abandoned,7361,https://i.postimg.cc/rs9z99Nk/f16.png
Russia,Soviet Union,1V13 battery fire control center,abandoned,7366,https://i.postimg.cc/CxMBs7WF/436.png
Russia,Soviet Union,1V13 battery fire control center,abandoned,7367,https://i.postimg.cc/gc14s4Fb/a2.png
Russia,Soviet Union,1V13 battery fire control center,abandoned,7368,https://i.postimg.cc/sgntV80G/44fss.png
Russia,Soviet Union,1V14 battery command and forward observer vehicle,abandoned,7371,https://i.postimg.cc/63JZBWDQ/b76.png
Russia,Russia,Vityaz DT-30 articulated tracked carrier,abandoned,7380,https://i.postimg.cc/nrSm0HNP/5g.png
Russia,Soviet Union,9P149 Shturm-S ATGM carrier,abandoned,7385,https://i.postimg.cc/Qdw6LXPV/98u.png
Russia,Soviet Union,9P149 Shturm-S ATGM carrier,abandoned,7386,https://i.postimg.cc/8PNsyDd1/3f.jpg
Russia,Russia,R-149MA1 command and staff vehicle,abandoned,7392,https://i.postimg.cc/jSgsKMn3/g553.jpg
Russia,Russia,R-149MA1 command and staff vehicle,abandoned,7393,https://i.postimg.cc/TY9CCkH1/h6n.jpg
Russia,Russia,R-149MA1 command and staff vehicle,abandoned,7394,https://postlmg.cc/DWr360St
Russia,Russia,TZM-T reloader vehicle (for TOS-1A),abandoned,7401,https://i.postimg.cc/3wM0txDr/4b.png
Russia,Russia,TZM-T reloader vehicle (for TOS-1A),abandoned,7402,https://i.postimg.cc/T20m5nwc/5422.png
Russia,Russia,Unknown AFV,abandoned,7432,https://i.postimg.cc/yNKDhgkN/5g.png
Russia,Russia,Unknown AFV,abandoned,7433,https://i.postimg.cc/Y965xPHs/67.jpg
Russia,Soviet Union,BMP-2,abandoned,7503,https://i.postimg.cc/vBy9TRg0/77699.png
Russia,Soviet Union,BMP-2,abandoned,7504,https://i.postimg.cc/XYyYKfsy/Screenshot-8236.png
Russia,Soviet Union,BMP-2,abandoned,7505,https://i.postimg.cc/2jX5hmCS/u1.jpg
